flag,href,name,proven,source,target
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LaplaceError.pdf,LaplaceError,,Laplace,Error
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DoublynoncentralfNoncentralf.pdf,DoublynoncentralfNoncentralf,False,Doublynoncentralf,Noncentralf
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LoglogisticLomax.pdf,LoglogisticLomax,,Loglogistic,Lomax
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerStandardpower.pdf,PowerStandardpower,,Power,Standardpower
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaErlang.pdf,GammaErlang,,Gamma,Erlang
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformExponentialpower.pdf,StandarduniformExponentialpower,,Standarduniform,Exponentialpower
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TStandardnormal.pdf,TStandardnormal,,T,Standardnormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaBeta.pdf,GammaBeta,,Gamma,Beta
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ErlangChisquareT.pdf,ErlangChisquareT,,Erlang,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalChisquare.pdf,NormalChisquare,,Normal,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalGeometric.pdf,PascalGeometric,,Pascal,Geometric
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralchisquareChisquare.pdf,NoncentralchisquareChisquare,,Noncentralchisquare,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/CauchyArctangent.pdf,CauchyArctangent,,Cauchy,Arctangent
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ZipfDiscreteuniform.pdf,ZipfDiscreteuniform,,Zipf,Discreteuniform
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetabinomialNegativehypergeometric.pdf,BetabinomialNegativehypergeometric,False,Betabinomial,Negativehypergeometric
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/WeibullExponential.pdf,WeibullExponential,,Weibull,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialBernoulli.pdf,BinomialBernoulli,,Binomial,Bernoulli
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LaplaceExponential.pdf,LaplaceExponential,,Laplace,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaInvertedbeta.pdf,BetaInvertedbeta,,Beta,Invertedbeta
